name,thumbnailUrl,rarity,team,position,pp,lp,diff,diff_p,sale,link
Carla Esparza,https://marketplace.draftkings.com/_assets/collectibles/assets/4c72cfb0-3e17-4e43-80ec-467f816650a8.png,Core,UFC,,2.99,4.35,1.36,"(45.48,)",,https://marketplace.draftkings.com/listings/collectibles/69e66ca959424d438281fee52cd09da3/editions/255
Marcin Tybura,https://marketplace.draftkings.com/_assets/Staging/UFC_HeatWaveR3_Master/Thumbnails/set_summer2022_marcin__tybura_202699_rare_thumbnail.png,Rare,UFC,,22.0,23.33,1.33,"(6.05,)",,https://marketplace.draftkings.com/listings/collectibles/a28708a180c940228dc2486d8ac94bdb/editions/101
Kenny Golladay,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Prize_Master/Thumbnails/set_prizev12022_kenny_golladay_19245_core_thumbnail.png,Core,NYG,WR,0,1.0,1.0,"(None,)",1.0,https://marketplace.draftkings.com/listings/collectibles/b71020205eb54cea952a168cc155a85d/editions/190
James Washington,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Prize_Master/Thumbnails/set_prizev12022_james_washington_18920_core_thumbnail.png,Core,DAL,WR,0,1.0,1.0,"(None,)",1.0,https://marketplace.draftkings.com/listings/collectibles/28f6ccbe6c7e48598d4020f6a49d40f7/editions/447
Mike Davis,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Prize_Master/Thumbnails/set_prizev12022_mike_davis_12522_core_thumbnail.png,Core,BAL,RB,0,1.0,1.0,"(None,)",1.0,https://marketplace.draftkings.com/listings/collectibles/1a7dd2ad43404806b6a78ecf65b0a43e/editions/515
Brycen Hopkins,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Prize_Master/Thumbnails/set_prizev12022_brycen_hopkins_485565_core_thumbnail.png,Core,LAR,TE,0,1.0,1.0,"(None,)",1.0,https://marketplace.draftkings.com/listings/collectibles/b29d0ae99e7e45c09483df6acb4abb4d/editions/45
Adam Trautman,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Prize_Master/Thumbnails/set_prizev12022_adam_trautman_485535_core_thumbnail.png,Core,NO,TE,0,1.0,1.0,"(None,)",1.0,https://marketplace.draftkings.com/listings/collectibles/4a10655136fb4d13bf7d68d7d9e74dd6/editions/461
KeeSean Johnson,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Elevate_Master/Thumbnails/set_Elevate2022_keesean_johnson_17836_sf_core_thumbnail.png,Core,BUF,WR,0,1.0,1.0,"(None,)",1.0,https://marketplace.draftkings.com/listings/collectibles/ec241dad6a4a42cfa0d10c39e856a508/editions/147
Jeremy Ruckert,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Elevate_Master/Thumbnails/set_Elevate2022_jeremy_ruckert_640927_nyj_core_thumbnail.png,Core,NYJ,TE,0,1.0,1.0,"(None,)",1.0,https://marketplace.draftkings.com/listings/collectibles/9f00b146578c43a4944840ad0cc7ad5c/editions/1158
James Washington,https://marketplace.draftkings.com/_assets/Staging/2022-08-14_Prize_Master/Thumbnails/set_prizev12022_james_washington_18920_core_thumbnail.png,Core,DAL,WR,0,1.0,1.0,"(None,)",1.0,https://marketplace.draftkings.com/listings/collectibles/28f6ccbe6c7e48598d4020f6a49d40f7/editions/415
